Year	Valence
1950	0.5980869565217393
1951	0.5424615384615386
1952	0.47658333333333336
1953	0.41411851851851833
1954	0.5260000000000001
1955	0.5383333333333334
1956	0.6072728395061731
1957	0.669058620689655
1958	0.6972531645569625
1959	0.6569540229885059
1960	0.6692736263736262
1961	0.6953488372093024
1962	0.6826808510638298
1963	0.7251444444444447
1964	0.7040000000000002
1965	0.6886136363636364
1966	0.6914148936170212
1967	0.6565568181818183
1968	0.6565106382978725
1969	0.6438279569892473
1970	0.6567530864197533
1971	0.6723132530120486
1973	0.6953370786516855
1974	0.6581648351648351
1975	0.6520470588235296
1976	0.694945054945055
1977	0.6156287234042555
1978	0.5940703296703296
1979	0.6971112359550563
1980	0.6510164835164834
1981	0.5941642857142858
1982	0.6565202247191012
1983	0.6294122222222224
1984	0.6911147727272726
1985	0.6726923076923074
1986	0.6385402173913043
1987	0.6449888888888886
1988	0.6287674418604653
1989	0.6140487804878049
1990	0.5990070588235296
1991	0.5982920454545453
1992	0.567794382022472
1993	0.5548791208791208
1994	0.5347078651685393
1995	0.5406127906976745
1996	0.592805194805195
1997	0.562120481927711
1999	0.5349189189189186
2000	0.6088743902439027
2001	0.5679027777777779
2002	0.5844579710144928
2003	0.5677622950819671
2004	0.5807060606060606
2005	0.526902777777778
2006	0.530529411764706
2007	0.544328125
2008	0.4934895522388062
2009	0.5359230769230768
2010	0.5636171875
2011	0.5474565217391307
2012	0.5519749999999999
2014	0.5200142857142857
